src,dst,src_name,dst_name,start_I,finish_I,duration_intervals,pred,path_nodes
0,1,VANGUARD 2,VANGUARD 3,56.0,57.0,2.0,0.0,0->1
0,2,VANGUARD 2,EXPLORER 7,31.0,34.0,4.0,5.0,0->5->2
0,3,VANGUARD 2,TIROS 1,9.0,15.0,7.0,6.0,0->6->3
0,4,VANGUARD 2,TRANSIT 2A,18.0,21.0,4.0,8.0,0->8->4
0,5,VANGUARD 2,SOLRAD 1 (GREB),29.0,30.0,2.0,0.0,0->5
0,6,VANGUARD 2,COURIER 1B,0.0,1.0,2.0,0.0,0->6
0,7,VANGUARD 2,EXPLORER 11,,,,,
0,8,VANGUARD 2,TRANSIT 4A,9.0,10.0,2.0,0.0,0->8
0,9,VANGUARD 2,SOLRAD 3/INJUN 1,24.0,27.0,4.0,8.0,0->8->9
1,0,VANGUARD 3,VANGUARD 2,56.0,57.0,2.0,1.0,1->0
1,2,VANGUARD 3,EXPLORER 7,24.0,57.0,34.0,4.0,1->6->4->2
1,3,VANGUARD 3,TIROS 1,42.0,43.0,2.0,1.0,1->3
1,4,VANGUARD 3,TRANSIT 2A,24.0,52.0,29.0,6.0,1->6->4
1,5,VANGUARD 3,SOLRAD 1 (GREB),47.0,50.0,4.0,6.0,1->6->5
1,6,VANGUARD 3,COURIER 1B,42.0,43.0,2.0,1.0,1->6
1,7,VANGUARD 3,EXPLORER 11,,,,,
1,8,VANGUARD 3,TRANSIT 4A,60.0,61.0,2.0,1.0,1->8
1,9,VANGUARD 3,SOLRAD 3/INJUN 1,10.0,11.0,2.0,1.0,1->9
2,0,EXPLORER 7,VANGUARD 2,33.0,36.0,4.0,5.0,2->5->0
2,1,EXPLORER 7,VANGUARD 3,47.0,52.0,6.0,5.0,2->5->1
2,3,EXPLORER 7,TIROS 1,17.0,22.0,6.0,5.0,2->5->3
2,4,EXPLORER 7,TRANSIT 2A,0.0,1.0,2.0,2.0,2->4
2,5,EXPLORER 7,SOLRAD 1 (GREB),4.0,5.0,2.0,2.0,2->5
2,6,EXPLORER 7,COURIER 1B,47.0,50.0,4.0,5.0,2->5->6
2,7,EXPLORER 7,EXPLORER 11,,,,,
2,8,EXPLORER 7,TRANSIT 4A,33.0,39.0,7.0,0.0,2->5->0->8
2,9,EXPLORER 7,SOLRAD 3/INJUN 1,33.0,58.0,26.0,0.0,2->5->0->9
3,0,TIROS 1,VANGUARD 2,25.0,30.0,6.0,5.0,3->5->0
3,1,TIROS 1,VANGUARD 3,42.0,43.0,2.0,3.0,3->1
3,2,TIROS 1,EXPLORER 7,25.0,34.0,10.0,0.0,3->5->0->2
3,4,TIROS 1,TRANSIT 2A,25.0,52.0,28.0,0.0,3->5->0->4
3,5,TIROS 1,SOLRAD 1 (GREB),21.0,22.0,2.0,3.0,3->5
3,6,TIROS 1,COURIER 1B,14.0,15.0,2.0,3.0,3->6
3,7,TIROS 1,EXPLORER 11,,,,,
3,8,TIROS 1,TRANSIT 4A,55.0,61.0,7.0,1.0,3->1->8
