src,dst,src_name,dst_name,start_I,finish_I,duration_intervals,pred,path_nodes
0,1,VANGUARD 2,VANGUARD 3,,,,,
0,2,VANGUARD 2,EXPLORER 7,,,,,
0,3,VANGUARD 2,TIROS 1,,,,,
0,4,VANGUARD 2,TRANSIT 2A,,,,,
0,5,VANGUARD 2,SOLRAD 1 (GREB),,,,,
0,6,VANGUARD 2,COURIER 1B,,,,,
0,7,VANGUARD 2,EXPLORER 11,,,,,
0,8,VANGUARD 2,TRANSIT 4A,,,,,
0,9,VANGUARD 2,SOLRAD 3/INJUN 1,,,,,
0,10,VANGUARD 2,TIROS 3,,,,,
0,11,VANGUARD 2,TRANSIT 4B,,,,,
0,12,VANGUARD 2,TRAAC,,,,,
0,13,VANGUARD 2,TIROS 4,,,,,
0,14,VANGUARD 2,TIROS 5,,,,,
0,15,VANGUARD 2,FTV 3502,,,,,
0,16,VANGUARD 2,TIROS 6,,,,,
0,17,VANGUARD 2,ALOUETTE 1 (S-27),,,,,
0,18,VANGUARD 2,ANNA 1B,,,,,
0,19,VANGUARD 2,EXPLORER 16,,,,,
0,20,VANGUARD 2,TRANSIT 5B-1,,,,,
0,21,VANGUARD 2,RADIATION SAT (5E 1),,,,,
0,22,VANGUARD 2,TRANSIT 5B-2,,,,,
0,23,VANGUARD 2,TRANSIT 5E 3,,,,,
0,24,VANGUARD 2,TIROS 8,,,,,
0,25,VANGUARD 2,GGSE 1 (GGRS),,,,,
0,26,VANGUARD 2,SECOR 1B,,,,,
0,27,VANGUARD 2,SOLRAD 7A,,,,,
0,28,VANGUARD 2,GREB,,,,,
0,29,VANGUARD 2,OPS 3367 A,,,,,
0,30,VANGUARD 2,OPS 3367 B,,,,,
0,31,VANGUARD 2,OPS 4412 (TRANSIT 9),,,,,
0,32,VANGUARD 2,OPS 4467 A,,,,,
0,33,VANGUARD 2,OPS 4467 B,,,,,
0,34,VANGUARD 2,EXPLORER 20,,,,,
0,35,VANGUARD 2,COSMOS 44,,,,,
0,36,VANGUARD 2,OPS 5798 (TRANSIT 5B-4),,,,,
0,37,VANGUARD 2,EXPLORER 22,,,,,
0,38,VANGUARD 2,CALSPHERE 1,,,,,
0,39,VANGUARD 2,CALSPHERE 2,,,,,
0,40,VANGUARD 2,EXPLORER 25 (INJUN-4),,,,,
0,41,VANGUARD 2,OPS 6582 (TRANSIT 5E-5),,,,,
0,42,VANGUARD 2,OPS 6582 (TRANSIT 5B-5),,,,,
0,43,VANGUARD 2,TIROS 9,,,,,
0,44,VANGUARD 2,SECOR 3,,,,,
0,45,VANGUARD 2,GGSE 2,,,,,
0,46,VANGUARD 2,OPS 4988 (GREB 6),,,,,
0,47,VANGUARD 2,PORCUPINE 1,,,,,
0,48,VANGUARD 2,SOLRAD 7B,,,,,
0,49,VANGUARD 2,GGSE 3,,,,,
1,0,VANGUARD 3,VANGUARD 2,,,,,
1,2,VANGUARD 3,EXPLORER 7,,,,,
1,3,VANGUARD 3,TIROS 1,,,,,
1,4,VANGUARD 3,TRANSIT 2A,,,,,
1,5,VANGUARD 3,SOLRAD 1 (GREB),,,,,
1,6,VANGUARD 3,COURIER 1B,,,,,
1,7,VANGUARD 3,EXPLORER 11,,,,,
1,8,VANGUARD 3,TRANSIT 4A,,,,,
1,9,VANGUARD 3,SOLRAD 3/INJUN 1,,,,,
1,10,VANGUARD 3,TIROS 3,,,,,
1,11,VANGUARD 3,TRANSIT 4B,,,,,
1,12,VANGUARD 3,TRAAC,,,,,
1,13,VANGUARD 3,TIROS 4,,,,,
1,14,VANGUARD 3,TIROS 5,,,,,
1,15,VANGUARD 3,FTV 3502,,,,,
1,16,VANGUARD 3,TIROS 6,,,,,
1,17,VANGUARD 3,ALOUETTE 1 (S-27),,,,,
1,18,VANGUARD 3,ANNA 1B,,,,,
1,19,VANGUARD 3,EXPLORER 16,,,,,
1,20,VANGUARD 3,TRANSIT 5B-1,,,,,
1,21,VANGUARD 3,RADIATION SAT (5E 1),,,,,
1,22,VANGUARD 3,TRANSIT 5B-2,,,,,
1,23,VANGUARD 3,TRANSIT 5E 3,,,,,
1,24,VANGUARD 3,TIROS 8,,,,,
1,25,VANGUARD 3,GGSE 1 (GGRS),,,,,
1,26,VANGUARD 3,SECOR 1B,,,,,
1,27,VANGUARD 3,SOLRAD 7A,,,,,
1,28,VANGUARD 3,GREB,,,,,
1,29,VANGUARD 3,OPS 3367 A,,,,,
1,30,VANGUARD 3,OPS 3367 B,,,,,
1,31,VANGUARD 3,OPS 4412 (TRANSIT 9),,,,,
1,32,VANGUARD 3,OPS 4467 A,,,,,
1,33,VANGUARD 3,OPS 4467 B,,,,,
1,34,VANGUARD 3,EXPLORER 20,,,,,
1,35,VANGUARD 3,COSMOS 44,,,,,
1,36,VANGUARD 3,OPS 5798 (TRANSIT 5B-4),,,,,
